# ----------------------------------------
# Reports snapshot
# Account: amber's global aspirants
# Property: amber's global aspirants 
# ----------------------------------------
#  
# Start date: 20260728
# End date: 20260824
Active users,New users,Average engagement time per active user,Event count
382,378,69.51047120418848,2185

#  
# Start date: 20260728
# End date: 20260824
Page title and screen class,Views,Active users,Event count,Bounce rate
Amber StudyAbroad Aspirants,332,235,1269,0.40625
amber Study Abroad Aspirants,191,123,706,0.3904109589041096
amber — Study Abroad Advice from Real Students,49,33,209,0.4666666666666667
Aspirantes a estudiar en el extranjero de Amber,0,1,1,0

#  
# Start date: 20260728
# End date: 20260824
First user source / medium,Active users
ig / social,262
whatsapp / referral,76
(direct) / (none),34
google / organic,10

#  
# Start date: 20260728
# End date: 20260824
Session source / medium,Sessions
ig / social,301
whatsapp / referral,94
(direct) / (none),45
google / organic,33

#  
# Start date: 20260728
# End date: 20260824
Nth day,new,returning
0000,10,2
0001,2,2
0002,6,0
0003,3,0
0004,5,0
0005,11,0
0006,8,3
0007,11,0
0008,15,0
0009,18,0
0010,15,0
0011,14,2
0012,28,1
0013,14,2
0014,9,2
0015,7,3
0016,10,2
0017,5,2
0018,12,2
0019,17,1
0020,22,4
0021,12,2
0022,14,3
0023,15,5
0024,16,3
0025,18,1
0026,25,4
0027,33,5

# How does activity on your platforms compare?
# Start date: 20260728
# End date: 20260824
Platform,Key events


#  
# Start date: 20260728
# End date: 20260824
City,Active users
Pune,21
Karachi,16
Bengaluru,12
Dhaka,12
Lagos,11
Lahore,11
Islamabad,9
Mumbai,9
Hyderabad,8
Council Bluffs,6
Kolkata,6
London,6
Lucknow,6
Delhi,5
Melbourne,5
Nagpur,5
Ahmedabad,4
Faisalabad,4
Jaipur,4
Ludhiana,4
Port Harcourt,4
Accra,3
Aulnay-sous-Bois,3
Bhopal,3
Chennai,3
Dehradun,3
Freetown,3
Ghaziabad,3
Jodhpur,3
Nairobi,3
New York,3
Rawalpindi,3
Tehran,3
Varanasi,3
Abuja,2
Agartala,2
Agra,2
Aligarh,2
Bareilly,2
Buea,2
Coimbatore,2
Forest City,2
Greater Noida,2
Gujranwala,2
Gurugram,2
Guwahati,2
Hong Kong,2
Indore,2
Istres,2
Johannesburg,2
Kathmandu,2
Kochi,2
Lilongwe,2
Monrovia,2
Moradabad,2
Multan,2
Navi Mumbai,2
Nepalgunj,2
New Delhi,2
Peshawar,2
Prayagraj,2
Prineville,2
Singapore,2
Thane,2
Vadodara,2
Abidjan,1
Amsterdam,1
Anand,1
Appleton,1
Balasore,1
Baleshwar,1
Ballia,1
Barcelona,1
Bardaghat,1
Bhiwandi,1
Bhiwani,1
Bhubaneswar,1
Birmingham,1
Buterere,1
Butwal,1
Chandigarh,1
Chandpur,1
Chattogram,1
Chhatrapati Sambhajinagar,1
Corpus Christi,1
Cox's Bazar,1
Dar es Salaam,1
Daska,1
Denton,1
Diss,1
Dubai,1
Euless,1
Faridabad,1
Fort Worth,1
Gojra,1
Gujrat,1
Ha Long,1
Harare,1
Heidelberg,1
Hilongos,1
Hounslow,1
Jabalpur,1
Jammu,1
Jamnagar,1
Jhelum,1
Kaithal,1
Kampala,1
Kigali,1
Kota,1
Kozhikode,1
Kumasi,1
Lalitpur,1
Lekki,1
Luanda,1
Madrid,1
Manchester,1
Mangaluru,1
Mapusa,1
Marrakesh,1
Maseru,1
Mathura,1
Matsapha,1
Mbeya,1
Mexico,1
Mira Bhayandar,1
Montreal,1
Moscow,1
Naaldwijk,1
Narasaraopeta,1
Narayanganj,1
Nashik,1
Norderstedt,1
Northfield,1
Pathanamthitta,1
Phnom Penh,1
Port Moresby,1
Port of Spain,1
Quetta,1
Ramgram,1
Rangamati,1
Rangpur,1
Rewa,1
Robertson,1
Rota,1
Rourkela,1
Sahibzada Ajit Singh Nagar,1
Sahiwal,1
Santiago De Los Caballeros,1
Sheikhupura,1
Sheoganj,1
Sialkot,1
Siegen,1
Sonipat,1
Srinagar,1
Sukkur,1
Sungai Siput,1
Sydney,1
Sylhet,1
Tashkent,1
Tbilisi,1
Thiruvananthapuram,1
Vasai-Virar,1
Vijayawada,1
West Bridgford,1

#  
# Start date: 20260728
# End date: 20260824
Audience name,Active users
All Users,382
